Players,2022 Set,Country,State Association,Age,Specialism,Batting Style,Bowling Style,Test caps,ODI caps,T20 caps,IPL,Previous IPLTeam(s),2021 Team,2021 IPL,C/U/A,Reserve Price Rs Lakh,Price Paid,Team,Bid
R Ashwin,M,India,TNCA,35,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,84,112,51,167,"CSK, RSP, KXIP, DC",DC,13,Capped,200,50000000,RR,Sold
Trent Boult,M,New Zealand,F,32,BOWLER,RHB,LEFT ARM Fast Medium,74,93,44,62,"SRH, KKR, DD,MI",MI,14,Capped,200,80000000,RR,Sold
Pat Cummins,M,Australia,F,28,ALL-ROUNDER,RHB,RIGHT ARM Fast,38,69,37,37,"DD, MI, KKR",KKR,7,Capped,200,72500000,KKR,Sold
Quinton De Kock,M,South Africa,F,29,WICKETKEEPER,LHB,-,54,125,61,77,"SRH, DD, RCB, MI",MI,11,Capped,200,67500000,LSG,Sold
Shikhar Dhawan,M,India,DDCA,36,BATSMAN,LHB,-,34,146,68,192,"DCH, MI, SRH, DC",DC,16,Capped,200,82500000,PK,Sold
Faf Du Plessis,M,South Africa,F,37,BATSMAN,RHB,RIGHT ARM Leg Spin,69,143,50,100,"RPS, CSK",CSK,16,Capped,200,70000000,RCB,Sold
Shreyas Iyer,M,India,MCA,27,BATSMAN,RHB,RIGHT ARM Leg Spin,2,23,32,87,DC,DC,8,Capped,200,122500000,KKR,Sold
Kagiso Rabada,M,South Africa,F,26,BOWLER,LHB,RIGHT ARM Fast,50,82,40,50,DC,DC,15,Capped,200,92500000,PK,Sold
Mohammad Shami,M,India,CAB,32,BOWLER,RHB,RIGHT ARM Fast,57,79,17,77,"DCH, KKR, DD, PBKS",PBKS,14,Capped,200,62500000,GT,Sold
David Warner,M,Australia,F,35,BATSMAN,LHB,-,91,128,88,150,"DD, SRH",SRH,8,Capped,200,62500000,DC,Sold
Shimron Hetmyer,BA1,West Indies,F,25,BATSMAN,LHB,RIGHT ARM Leg Spin,16,47,42,31,"RCB, DC",DC,14,Capped,150,85000000,RR,Sold
David Miller,BA1,South Africa,F,32,BATSMAN,LHB,-,0,138,95,89,"KXIP, RR",RR,9,Capped,100,30000000,GT,Sold
Devdutt Padikkal,BA1,India,KSCA,21,BATSMAN,LHB,RIGHT ARM Off Spin,0,0,2,29,RCB,RCB,14,Capped,200,77500000,RR,Sold
Manish Pandey,BA1,India,KSCA,32,BATSMAN,RHB,RIGHT ARM Off Spin,0,29,39,154,"MI, RCB, PWI, KKR, SRH",SRH,8,Capped,100,46000000,LSG,Sold
Suresh Raina,BA1,India,UPCA,35,BATSMAN,LHB,RIGHT ARM Off Spin,18,226,78,205,"CSK, GL",CSK,12,Capped,200,0,UnSold,UnSold
Jason Roy,BA1,England,F,31,BATSMAN,RHB,,5,98,53,13,"GL, DC, SRH",SRH,5,Capped,200,20000000,GT,Sold
Steve Smith,BA1,Australia,F,32,BATSMAN,RHB,-,82,128,52,103,"PWI, RPS, RR, DC",DC,8,Capped,200,0,UnSold,UnSold
Robin Uthappa,BA1,India,KCA,36,BATSMAN,RHB,-,0,46,13,193,"MI, PWI, RCB, KKR, RR, CSK",CSK,4,Capped,200,20000000,CSK,Sold
Shakib Al Hasan,AL1,Bangladesh,F,35,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,59,215,94,71,"SRH, KKR",KKR,8,Capped,200,0,UnSold,UnSold
Dwayne Bravo,AL1,West Indies,F,38,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,40,164,91,151,"MI, GL, CSK",CSK,11,Capped,200,44000000,CSK,Sold
Wanindu Hasaranga,AL1,Sri Lanka,F,24,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,4,29,33,2,RCB,RCB,2,Capped,100,107500000,RCB,Sold
Jason Holder,AL1,West Indies,F,30,ALL-ROUNDER,RHB,RIGHT ARM Fast,53,124,30,26,"CSK, KKR, SRH",SRH,8,Capped,150,87500000,LSG,Sold
Mitchell Marsh,AL1,Australia,F,30,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,32,63,36,21,"DCH, PWI, RPS, SRH",Do No Play,0,Capped,200,65000000,DC,Sold
Mohammad Nabi,AL1,Afghanistan,F,37,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,3,127,86,17,SRH,SRH,3,Capped,100,10000000,KKR,Sold
Krunal Pandya,AL1,India,BCA,31,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,5,19,84,MI,MI,13,Capped,200,82500000,LSG,Sold
Harshal Patel,AL1,India,HCA,31,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,2,63,"DC, RCB",RCB,15,Capped,200,107500000,RCB,Sold
Nitish Rana,AL1,India,DDCA,28,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,0,1,2,77,"MI, KKR",KKR,17,Capped,100,80000000,KKR,Sold
Washington Sundar,AL1,India,TNCA,22,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,4,1,31,42,RCB,RCB,6,Capped,150,87500000,SRH,Sold
Jonny Bairstow,WK1,England,F,32,WICKETKEEPER,RHB,-,80,89,63,28,SRH,SRH,7,Capped,150,67500000,PK,Sold
Sam Billings,WK1,England,F,30,WICKETKEEPER,RHB,-,1,25,33,22,"CSK, DC",DC,0,Capped,200,20000000,KKR,Sold
Dinesh Karthik,WK1,India,TNCA,36,WICKETKEEPER,RHB,-,26,94,32,213,"KXIP, MI, DD, RCB, GL, KKR",KKR,17,Capped,200,55000000,RCB,Sold
Ishan Kishan,WK1,India,JSCA,23,WICKETKEEPER,LHB,-,0,2,5,61,"GL , MI",MI,10,Capped,200,152500000,MI,Sold
Nicholas Pooran,WK1,West Indies,F,26,WICKETKEEPER,LHB,-,0,34,49,33,"MI, PBKS",PBKS,12,Capped,150,107500000,SRH,Sold
Ambati Rayudu,WK1,India,ACA,36,WICKETKEEPER,RHB,-,0,55,6,175,"MI, CSK",CSK,16,Capped,200,67500000,CSK,Sold
Wriddhiman Saha,WK1,India,CAB,37,WICKETKEEPER,RHB,-,40,9,0,133,"KKR, CSK, KXIP, SRH",SRH,9,Capped,100,19000000,GT,Sold
Matthew Wade,WK1,Australia,F,34,WICKETKEEPER,LHB,-,36,97,55,3,DD,Do No Play,0,Capped,200,24000000,GT,Sold
Deepak Chahar,FA1,India,RCA,29,BOWLER,RHB,RIGHT ARM Fast Medium,0,5,17,63,"RPS, CSK",CSK,15,Capped,200,140000000,CSK,Sold
Lockie Ferguson,FA1,New Zealand,F,30,BOWLER,RHB,RIGHT ARM Fast,1,37,15,22,"RPS, KKR",KKR,8,Capped,200,100000000,GT,Sold
Josh Hazlewood,FA1,Australia,F,31,BOWLER,LHB,RIGHT ARM Fast,56,56,24,12,CSK,CSK,9,Capped,200,77500000,RCB,Sold
Prasidh Krishna,FA1,India,KSCA,26,BOWLER,RHB,RIGHT ARM Fast,0,3,0,34,KKR,KKR,10,Capped,100,100000000,RR,Sold
Bhuvneshwar Kumar,FA1,India,UPCA,32,BOWLER,RHB,RIGHT ARM Fast Medium,21,120,55,132,"PWI, SRH",SRH,11,Capped,200,42000000,SRH,Sold
T Natarajan,FA1,India,TNCA,30,BOWLER,LHB,LEFT ARM Fast,1,2,4,24,"KXIP, SRH",SRH,2,Capped,100,40000000,SRH,Sold
Mustafizur Rahman,FA1,Bangladesh,F,26,BOWLER,LHB,LEFT ARM Fast Medium,14,68,61,38,"SRH, MI, RR",RR,14,Capped,200,20000000,DC,Sold
Shardul Thakur,FA1,India,MCA,30,BOWLER,RHB,RIGHT ARM Fast Medium,7,16,24,61,"KXIP, RPS, CSK",CSK,16,Capped,200,107500000,DC,Sold
Mark Wood,FA1,England,F,32,BOWLER,RHB,RIGHT ARM Fast,25,57,19,1,CSK,Do No Play,0,Capped,200,75000000,LSG,Sold
Umesh Yadav,FA1,India,VCA,34,BOWLER,RHB,RIGHT ARM Fast,52,75,7,121,"DD, KKR,RCB,DC",DC,0,Capped,200,20000000,KKR,Sold
Yuzvendra Chahal,SP1,India,HCA,31,BOWLER,RHB,RIGHT ARM Leg Spin,0,56,50,114,"MI,RCB",RCB,15,Capped,200,65000000,RR,Sold
Rahul Chahar,SP1,India,RCA,22,BOWLER,RHB,RIGHT ARM Leg Spin,0,1,6,42,"RPS, MI",MI,11,Capped,75,52500000,PK,Sold
Amit Mishra,SP1,India,HCA,39,BOWLER,RHB,RIGHT ARM Leg Spin,22,36,10,154,"DCH, SRH, DC",DC,4,Capped,150,0,UnSold,UnSold
Adil Rashid,SP1,England,F,34,BOWLER,RHB,RIGHT ARM Leg Spin,19,112,68,1,Do No Play,PBKS,1,Capped,200,0,UnSold,UnSold
Imran Tahir,SP1,South Africa,F,43,BOWLER,RHB,RIGHT ARM Leg Spin,20,107,38,59,"DD, RPS, CSK",CSK,1,Capped,200,0,UnSold,UnSold
Kuldeep Yadav,SP1,India,UPCA,27,BOWLER,LHB,LEFT ARM Slow Unorthodox,7,65,23,45,KKR,KKR,0,Capped,100,20000000,DC,Sold
Mujeeb Zadran,SP1,Afghanistan,F,21,BOWLER,RHB,RIGHT ARM Off Spin,1,43,22,19,"KXIP, SRH",SRH,1,Capped,200,0,UnSold,UnSold
Adam Zampa,SP1,Australia,F,29,BOWLER,RHB,RIGHT ARM Leg Spin,0,64,57,14,"RPS, RCB",RCB,0,Capped,200,0,UnSold,UnSold
Dewald Brevis,UBA1,South Africa,F,18,BATSMAN,RHB,RIGHT ARM Leg Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,30000000,MI,Sold
Priyam Garg,UBA1,India,UPCA,21,BATSMAN,RHB,RIGHT ARM Off Spin,0,0,0,19,SRH,SRH,5,Uncapped,20,2000000,SRH,Sold
Ashwin Hebbar,UBA1,India,ACA,26,BATSMAN,RHB,RIGHT ARM Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,2000000,DC,Sold
CHari Nishaanth,UBA1,India,TNCA,25,BATSMAN,LHB,RIGHT ARM Off Spin,0,0,0,0,CSK,CSK,0,Uncapped,20,2000000,CSK,Sold
Rajat Patidar,UBA1,India,MPCA,28,BATSMAN,RHB,RIGHT ARM Off Spin,0,0,0,4,RCB,RCB,4,Uncapped,20,0,UnSold,UnSold
Abhinav Sadarangani,UBA1,India,KSCA,27,BATSMAN,RHB,RIGHT ARM Leg Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,26000000,GT,Sold
Anmolpreet Singh,UBA1,India,PCA,24,BATSMAN,RHB,RIGHT ARM Off Spin,0,0,0,1,MI,MI,1,Uncapped,20,2000000,MI,Sold
Rahul Tripathi,UBA1,India,MACA,31,BATSMAN,RHB,RIGHT ARM Medium,0,0,0,62,"RPS, RR, KKR",KKR,17,Uncapped,40,85000000,SRH,Sold
Shahbaz Ahamad,UAL1,India,CAB,27,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,0,13,RCB,RCB,11,Uncapped,30,24000000,RCB,Sold
Harpreet Brar,UAL1,India,PCA,26,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,0,10,PBKS,PBKS,7,Uncapped,20,38000000,PK,Sold
Deepak Hooda,UAL1,India,RCA,26,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,0,0,80,"RR, SRH, PBKS",PBKS,12,Uncapped,40,57500000,LSG,Sold
Sarfaraz Khan,UAL1,India,MCA,24,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,0,0,0,40,"RCB,PBKS",PBKS,2,Uncapped,20,2000000,DC,Sold
Shahrukh Khan,UAL1,India,TNCA,26,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,0,0,11,PBKS,PBKS,11,Uncapped,40,90000000,PK,Sold
Shivam Mavi,UAL1,India,UPCA,23,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,0,26,KKR,KKR,9,Uncapped,40,72500000,KKR,Sold
Kamlesh Nagarkoti,UAL1,India,RCA,22,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,0,11,KKR,KKR,1,Uncapped,40,11000000,DC,Sold
